symbol,close,date,high,low,month,open,volume,daily_return,cumulative_return
APOLLOHOSP,6906.75,2024-10-23 05:30:00,6958.95,6854.75,2024-10,6885.0,109466,0.002147432874585631,1.3492513113040776
APOLLOHOSP,6954.15,2024-10-24 05:30:00,6978.0,6870.65,2024-10,6937.25,147408,0.006862851558258276,1.3585110227683428
APOLLOHOSP,6944.85,2024-10-25 05:30:00,6981.0,6876.05,2024-10,6954.15,175261,-0.0013373309462694216,1.3566942439367466
APOLLOHOSP,6926.3,2024-10-28 05:30:00,6970.0,6794.25,2024-10,6923.0,238427,-0.0026710440110297995,1.353070453901681
APOLLOHOSP,6987.45,2024-10-29 05:30:00,6997.7,6855.8,2024-10,6957.9,196146,0.008828667542555069,1.365016263100833
APOLLOHOSP,6982.5,2024-10-30 05:30:00,7035.0,6939.8,2024-10,6980.6,191699,-0.0007084129403430728,1.3640492679162735
APOLLOHOSP,7022.7,2024-10-31 05:30:00,7050.0,6956.05,2024-10,6999.9,224153,0.005757250268528358,1.3719024409302703
APOLLOHOSP,7031.95,2024-11-01 05:30:00,7046.0,7000.75,2024-11,7022.7,18769,0.0013171572187336,1.3737094521337399
APOLLOHOSP,6958.4,2024-11-04 05:30:00,7090.0,6892.15,2024-11,7090.0,273442,-0.010459403152752844,1.3593412711591257
APOLLOHOSP,6966.3,2024-11-05 05:30:00,6986.55,6814.25,2024-11,6920.0,246059,0.0011353184640148228,1.36088455640317
APOLLOHOSP,6968.1,2024-11-06 05:30:00,7141.75,6891.0,2024-11,7020.0,459745,0.0002583868050471949,1.3612361910157371
APOLLOHOSP,7424.85,2024-11-07 05:30:00,7483.9,7200.3,2024-11,7316.5,2502817,0.06554871485770875,1.4504634739546212
APOLLOHOSP,7421.4,2024-11-08 05:30:00,7545.0,7380.0,2024-11,7390.05,1032481,-0.00046465585163346645,1.4497895076138676
APOLLOHOSP,7155.45,2024-11-11 05:30:00,7454.15,6982.6,2024-11,7400.0,625620,-0.03583555663351923,1.397835493607089
APOLLOHOSP,7019.55,2024-11-12 05:30:00,7232.85,7001.0,2024-11,7161.25,194183,-0.018992516193950038,1.3712870803582782
APOLLOHOSP,6858.85,2024-11-13 05:30:00,6998.2,6830.45,2024-11,6970.0,299775,-0.022893205404904804,1.3398939235585439
APOLLOHOSP,6860.65,2024-11-14 05:30:00,6908.0,6827.05,2024-11,6860.0,192648,0.00026243466470310395,1.3402455581711106
APOLLOHOSP,6741.9,2024-11-18 05:30:00,6874.45,6694.55,2024-11,6874.45,268706,-0.017308855574909132,1.3170474413698134
APOLLOHOSP,6686.9,2024-11-19 05:30:00,6796.9,6661.2,2024-11,6750.0,290018,-0.008157937673356153,1.3063030504302653
APOLLOHOSP,6742.5,2024-11-21 05:30:00,6761.95,6594.15,2024-11,6623.55,258574,0.008314764689168364,1.3171646529073358
APOLLOHOSP,6935.1,2024-11-22 05:30:00,6950.3,6751.6,2024-11,6751.6,498633,0.02856507230255856,1.3547895564520083
ASIANPAINT,3166.85,2023-10-03 05:30:00,3227.8,3162.0,2023-10,3166.1,1219145,,
ASIANPAINT,3169.9,2023-10-04 05:30:00,3189.0,3151.35,2023-10,3164.95,892584,0.0009631021361922176,1.0009631021361922
ASIANPAINT,3206.25,2023-10-05 05:30:00,3232.1,3174.3,2023-10,3210.0,1002610,0.011467238714155004,1.012441384972449
ASIANPAINT,3195.75,2023-10-06 05:30:00,3217.0,3190.0,2023-10,3214.75,814257,-0.0032748538011695416,1.0091257874544106
ASIANPAINT,3152.8,2023-10-09 05:30:00,3163.0,3132.7,2023-10,3140.05,700012,-0.013439724634279893,0.9955634147496725
ASIANPAINT,3151.5,2023-10-10 05:30:00,3164.9,3140.05,2023-10,3150.0,847367,-0.0004123318954580846,0.99515291219982
ASIANPAINT,3163.9,2023-10-11 05:30:00,3185.0,3152.05,2023-10,3169.0,1025317,0.003934634301126394,0.9990684749830273
ASIANPAINT,3159.1,2023-10-12 05:30:00,3188.5,3150.05,2023-10,3186.0,992531,-0.0015171149530642802,0.9975527732604954
ASIANPAINT,3148.8,2023-10-13 05:30:00,3172.0,3128.25,2023-10,3150.0,854688,-0.0032604222721660525,0.9943003299808959
ASIANPAINT,3112.05,2023-10-16 05:30:00,3128.0,3096.1,2023-10,3124.0,853011,-0.011671112804878092,0.9826957386677614
ASIANPAINT,3113.55,2023-10-17 05:30:00,3137.0,3091.8,2023-10,3137.0,792640,0.0004819973972141067,0.9831693954560526
ASIANPAINT,3096.45,2023-10-18 05:30:00,3115.2,3090.0,2023-10,3110.0,481985,-0.005492123139182126,0.9777697080695328
ASIANPAINT,3101.8,2023-10-19 05:30:00,3110.9,3076.1,2023-10,3087.7,568124,0.0017277850441634879,0.9794590839477714
ASIANPAINT,3105.85,2023-10-20 05:30:00,3115.1,3064.55,2023-10,3092.5,711434,0.0013056934683086663,0.9807379572761575
ASIANPAINT,3072.0,2023-10-23 05:30:00,3108.9,3064.0,2023-10,3096.05,374476,-0.01089878777146347,0.9700491024203861
ASIANPAINT,3060.8,2023-10-25 05:30:00,3108.0,3052.0,2023-10,3093.4,669290,-0.003645833333333237,0.9665124650678119
ASIANPAINT,2960.3,2023-10-26 05:30:00,3055.0,2940.0,2023-10,3051.1,1834111,-0.032834553058024074,0.9347774602523011
ASIANPAINT,2955.15,2023-10-27 05:30:00,2974.65,2931.0,2023-10,2932.8,1708185,-0.0017396885450798871,0.9331512386125014
ASIANPAINT,2967.1,2023-10-30 05:30:00,2991.95,2939.1,2023-10,2974.0,878885,0.004043787963385892,0.9369247043592213
ASIANPAINT,2995.7,2023-10-31 05:30:00,3012.75,2966.0,2023-10,2969.0,1152306,0.009639041488321842,0.9459557604559735
ASIANPAINT,2934.55,2023-11-01 05:30:00,3008.9,2930.0,2023-11,2997.95,1029990,-0.020412591380979284,0.9266463520533023
ASIANPAINT,2955.4,2023-11-02 05:30:00,2962.0,2934.0,2023-11,2961.05,900125,0.007105007582082434,0.93323018141055
ASIANPAINT,2977.85,2023-11-03 05:30:00,2982.9,2942.0,2023-11,2957.0,715997,0.007596264465046909,0.9403192446753083
ASIANPAINT,3029.3,2023-11-06 05:30:00,3034.05,2983.85,2023-11,2998.0,620959,0.01727756602918218,0.9565656725136966
ASIANPAINT,3033.35,2023-11-07 05:30:00,3038.95,3002.2,2023-11,3029.3,757998,0.001336942527976781,0.9578445458420829
ASIANPAINT,3095.25,2023-11-08 05:30:00,3098.95,3046.2,2023-11,3058.0,783400,0.020406481283069988,0.9773907826389
ASIANPAINT,3080.2,2023-11-09 05:30:00,3111.4,3074.05,2023-11,3100.0,849702,-0.004862288991196229,0.9726384261963782
ASIANPAINT,3076.45,2023-11-10 05:30:00,3085.0,3040.1,2023-11,3070.0,364232,-0.0012174534121160985,0.9714542842256502
ASIANPAINT,3098.15,2023-11-12 05:30:00,3100.0,3090.0,2023-11,3099.95,85178,0.007053584488615261,0.9783065190962631
ASIANPAINT,3085.6,2023-11-13 05:30:00,3098.0,3065.0,2023-11,3098.0,405941,-0.004050804512370387,0.9743435906342266
ASIANPAINT,3116.2,2023-11-15 05:30:00,3118.85,3078.7,2023-11,3085.7,700017,0.009917033964220945,0.9840061891153672
ASIANPAINT,3130.3,2023-11-16 05:30:00,3140.9,3097.6,2023-11,3119.0,675454,0.0045247416725500145,0.9884585629253047
ASIANPAINT,3168.9,2023-11-17 05:30:00,3228.25,3145.65,2023-11,3150.0,1430175,0.012331086477334496,1.0006473309439983
ASIANPAINT,3140.35,2023-11-20 05:30:00,3171.9,3132.0,2023-11,3168.9,406431,-0.009009435450787362,0.9916320634068556
